country_or_region,province_or_state,state_and_country,date,daily_new_cases,running_total_cases,running_total_cases_prev_day,daily_new_deaths,running_total_deaths,running_total_deaths_prev_day,data_source,lat,long,first_case_state_rank,first_case_country_rank,hundred_case_state_rank,hundred_case_country_rank,country_code_2,country_code_3,country_population_2018,country_median_age,country_running_agg
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-22,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-23,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-24,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-25,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-26,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-27,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-28,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-29,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-30,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-01-31,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-02-01,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-02-02,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-02-03,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-02-04,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
Afghanistan,Not Provided,Not Provided-Afghanistan,2020-02-05,0.0,0,0.0,0.0,0,0.0,JHU,33.0,65.0,,,,,AF,AFG,37172386.0,18.9,0
